i,success,f_si28_ag_s32,f_s32_ga_si28,f_mg24_ag_si28,f_ne20_ga_o16,X32,X28,XO16
0,1,0.37398354076279555,2.393969083241786,0.5480263980011082,0.8360803749961713,0.004254399660881106,0.4145498814319209,0.5205692216881859
1,1,0.9492858511882116,0.599424658290792,0.38874264875229275,1.5655532376111818,0.09046257536970793,0.2884983219492787,0.5276582466857465
2,1,1.2832682045563564,0.2595022221368254,5.060843369357529,1.9523113167973596,0.2864413988652763,0.13245734799213438,0.5810618097461793
3,1,0.5918121075109937,1.8649168900702846,0.7242925998477606,0.9589437752435267,0.033241798703134644,0.4136957979686934,0.534815912569349
4,1,1.7244607079220964,0.4197585587738326,1.4885288429845909,2.6284135561583386,0.26874314983928554,0.15267969820252855,0.5779921204876722
5,1,2.492811377781341,0.81299981245578,1.8658460283194525,0.32623096422996567,0.21597601847446213,0.21366976003999186,0.5690138672086527
6,1,0.8964854014098153,1.3640967670402004,0.39529350470042834,0.9451347315460746,0.04124801749503863,0.3511656911606758,0.5209549908743676
7,1,3.291713129244389,6.10165752617451,1.710836090165042,1.772515161458864,0.20895664991350574,0.22260094544744202,0.5680666579382468
8,1,0.5155888372487785,0.43369409988654384,0.37697486639113525,1.4536640458777408,0.06424864598523702,0.3028226813778006,0.5186442095249201
9,1,1.681054597223842,0.6344127523001989,0.42795440826293374,1.1947232916187445,0.12176838953340602,0.2562287743389486,0.5340908543695284
10,1,1.2412831943055675,0.9136008457299949,2.4043347653778495,0.9378022333838878,0.2053804817690681,0.22688054647847847,0.5675002161809355
11,1,0.9553328976929016,0.46508856296951145,1.0984671030187214,2.53584864887849,0.187991578190514,0.24473683531874438,0.5639186705159436
12,1,1.043141458486784,1.0502057217422578,1.349262223237009,1.211281538220554,0.15591306950869044,0.28421778669430164,0.5591541790472335
13,1,1.442366795459592,1.4488261991624682,1.5328688697383401,0.5774239099334385,0.1564891008622748,0.28353417144636267,0.559235777227863
14,1,1.230295070472074,0.3305137429054337,1.2023742003823878,0.4183240808464322,0.1525159605486847,0.2691402969910907,0.5531492700817938
15,1,0.9519601267148012,1.3874422618110929,0.7508338982328746,1.069830438133534,0.07929216679917886,0.3625807449188413,0.5432363909565663
16,1,0.3220139223316652,0.5531238089050744,1.6087350959894962,0.4504443304667943,0.052333822865393016,0.39999804678429607,0.5404423216411528
17,1,1.5672407552505734,0.3832586929770505,0.5343001090088574,0.4692155623377642,0.13019485423941263,0.23901884276596777,0.5333849047008085
18,1,1.0049482736629824,1.4464651377707838,0.4789141247623929,0.88218197100735,0.04997634754874301,0.3611576720159281,0.5281733447650028
19,1,3.066094524373494,0.8031236524247461,0.5691877044720107,1.3060918070972234,0.17017211735139479,0.23052199741778204,0.5509478211705269
20,1,0.8568569471490884,0.615875258243745,0.28925844499809916,1.7599392883481548,0.07695368144080636,0.2770909593593238,0.5176447663289246
21,1,0.6740469213924121,1.0005427687354587,0.4796309335553689,2.4576178348362188,0.07279515062903391,0.35336326423592823,0.5373572815549804
22,1,1.6763391299132686,1.969077332653703,0.9265618048708886,1.3815784778259876,0.15078223651243905,0.2894337805625233,0.5580803147229504
23,1,1.8500443725788618,2.0272289972965303,1.2408378050848834,0.9581391683178263,0.17040971248930156,0.2673481709129512,0.5615784817538341
24,1,0.7801104684323976,0.5962203631272627,0.5132823465975539,1.2823612826202289,0.08225074585728342,0.31795615118091924,0.5319684901424093
25,1,0.8445672571062907,0.25190861298447975,0.8983089257975193,2.0852074235980878,0.16291594395252776,0.2582762971259039,0.5552502755975598
26,1,0.8268915041111932,0.2779708281464224,0.9176930055997748,1.7198570725794193,0.15032684777048358,0.27182395090327394,0.5528262626275973
27,1,1.1497398360994016,0.744008105883535,3.584979434844491,3.715231393031513,0.29117491007806845,0.12690943512298597,0.5818414612797506
28,1,0.9342701849301447,1.7540163283058294,1.3114396699274886,1.7156664952479823,0.15428130290714154,0.28640405170079103,0.5589615199764479
29,1,2.7288612552336486,1.76220250230803,1.0624575899626105,0.6367197270722016,0.16804907077331205,0.2677878682433753,0.5605247934425711
30,1,0.5707342509106574,0.9825135494736544,2.225642280223424,1.2307115061349487,0.13896764199457629,0.30437491765491187,0.5564362651206205
31,1,1.0373301332401024,1.1944870814222297,1.0249976241086758,1.4593887892747066,0.136032158180993,0.3062991546280064,0.5555249536598437
32,1,0.4603747819742096,0.2555204711821655,0.74551259518732,0.45214512606955887,0.07277604643014939,0.32226231330728194,0.528460432479922
33,1,3.051697038683601,0.8963073172754249,0.8397267660189297,0.3455841293341881,0.1607475645699281,0.2551558861065869,0.5532658420467167
34,1,1.2151385804375978,0.6500044946566339,2.170434474330523,1.7879950383550294,0.23627369955438704,0.19090867517153476,0.5726762948489297
35,1,0.5851014438758774,1.3280515469499041,0.15250186986067857,0.6280707385781655,0.012891327823220663,0.2503517965751737,0.47797304654698225
36,1,2.365192312449861,1.726085914080453,1.1287617041159717,0.9799673796762716,0.18408199510709872,0.2508438577676186,0.5637023664893195
37,1,0.3750988414728965,0.3908499878499171,1.1668726685902078,3.3770215305899973,0.1357170875033035,0.3073701134304644,0.5556765989792295
38,1,0.22321997028650725,1.5436415195015465,1.5148127706873005,1.9285342555430134,0.06083594101608522,0.3954905956800726,0.5434049523567088
39,1,0.5485623537152123,0.6939015837618555,1.0320606711695135,0.49173877683981393,0.06169629968888282,0.37784582761671687,0.5387974497240473
40,1,0.4277728433453242,0.5432408979742983,0.9522082959962432,1.294839696368951,0.07164431756925717,0.3695662445094084,0.5414101544545724
41,1,0.9831547425080083,1.0548196158303818,0.6234850359761661,0.6077832115726812,0.065406819412456,0.3533297029390042,0.5336502292073909
42,1,2.1686369068061153,0.9628436086813859,0.9446607753417594,1.9089561401709592,0.20709971552308779,0.22189906579211943,0.5669468703553611
43,1,2.3526706655726204,2.4090103042267796,1.3236332409867273,0.9658338752113519,0.19080601886637408,0.2436396383317464,0.5650014735692869
44,1,1.2212238060375535,1.1318573699120973,2.625694332968472,1.2235283522922038,0.21459091045763548,0.2161553878445407,0.5690412324258358
45,1,1.55425295703674,0.9809202181660637,2.578193771896287,0.24219083876194825,0.18432551190248517,0.25112769462814816,0.5638639994399838
46,1,1.300626874632248,1.6850671057245827,0.4490164426318208,4.416650506301056,0.1405685091531045,0.29461558906101715,0.5544587980713218
47,1,0.9014028656739969,0.8946449525872863,0.4744246626117947,1.8339599838688934,0.08351057261915372,0.32953181051085795,0.5359058630555218
48,1,1.167724048109978,0.6645412804759486,1.1691731699371828,1.6064039083553536,0.17479245209488506,0.2603722700000507,0.561784887371291
49,1,2.3147355541188457,1.1609615390169752,0.5135147620611621,0.680797039636431,0.11096471933849694,0.2890696301608504,0.5380698859778406
50,1,0.2044013255770161,0.6030806054605228,1.6631856534289902,1.3794787522830463,0.05762271335369963,0.3989072268241718,0.5427785111323736
51,1,0.9281906415814827,0.7898945397862953,2.9878592696690323,1.2152688380386782,0.20229314818764527,0.23054254927683562,0.5670047728621228
52,1,1.87440708530456,1.3137764413852817,0.6297773602792367,2.928267141067649,0.17575697732909337,0.255341217251886,0.5608313720033088
53,1,0.4251657683491884,0.43767119184982783,0.7434557903072371,0.6040905361807856,0.05466704972725832,0.3558872178609271,0.5290130444934571
54,1,0.6803922063244913,0.6607148693968133,1.9771888893679312,1.0381459225169511,0.14632144386511325,0.2957252280781257,0.5576449170761039
55,1,1.2751821734293762,0.3338944093252251,0.5570761881023264,2.115295661845235,0.16234308611419854,0.233462757687304,0.5478744127949224
56,1,0.43536349054756734,2.257144007135678,0.49068213222670853,1.2296046543423365,0.00897639282659726,0.41347263407499873,0.5226223013692867
57,1,0.5573500041001308,1.1454762528178748,0.5371661687640316,0.8375647117651938,0.031528990880426905,0.38105243236726005,0.524634398132118
58,1,3.1751506048641005,0.7716477712277076,4.083555233200878,0.7283866555454103,0.3003249607013364,0.11616357156240192,0.5833353758577124
59,1,0.44388360260051524,1.0532118810481206,0.7538812387290095,3.3648026307427976,0.0989927122544721,0.34941501486103194,0.5493265794960189
60,1,1.8124954314863944,2.261425030548265,1.547038249147144,5.511872123786759,0.283987600230529,0.13520532772719598,0.5806186029906926
61,1,1.730974838459992,1.4434636888401464,0.5638718589030641,0.533591434856717,0.08211286496135509,0.332480001644677,0.5360449701069868
62,1,1.1357187089415268,1.9921473251771247,2.1631553608608267,0.5209545524807901,0.13977935805602806,0.30318328775278847,0.5564816790768102
63,1,1.443517360127371,1.1428883323932766,0.4618712450849839,1.4241432458930827,0.0945222531885963,0.31383813906713043,0.5369273472186339
64,1,0.2083675634288551,1.1993586281923618,5.513076871530688,0.49434988733738017,0.050199810256124223,0.40794897762651355,0.5416173171530259
65,1,1.0130381120440015,0.2702220179861763,0.59360766923818,1.6860067999493114,0.14603408324747222,0.2469433974995205,0.5435714772034659
66,1,0.48670005829318447,0.9766131261466853,0.7824372360378898,0.769965896306679,0.04035658691260421,0.39582126030630455,0.5332666276045146
67,1,1.1407608458527516,1.3973940449959394,2.339269865848946,1.7778339152743377,0.21576885650808575,0.2147848103245191,0.5692407700871457
68,1,0.6768890279479625,2.657105534399611,2.368559860760444,0.3406556294902997,0.06907577160512644,0.38557416704607583,0.5446524074959833
69,1,1.5833239373406338,1.7687992749216102,1.949376156680876,1.4593269057286014,0.21772768816932456,0.21243572253274506,0.5695477424873902
70,1,0.4081737021798066,0.8312079724063828,0.23929742925339317,0.8966691621090369,0.020958690658217462,0.2944066592640124,0.49459439668549965
71,1,4.061465675242461,1.6012946973713689,1.781808698457187,0.7013803363864305,0.25306013926098697,0.17109908768725532,0.5754013982108122
72,1,0.4957686016831864,0.4774399212967568,1.0893659518798198,0.5742423725062509,0.07112827260227154,0.36478274278375994,0.5397832246493384
73,1,0.6437381920581716,2.204695887054006,0.32190626253133425,0.4034585522850087,0.00705695127740034,0.3474076829686584,0.5027857621528486
74,1,0.702901139033731,0.9333439889515047,0.9144247470614666,0.38105571757835593,0.05885306609980461,0.3784204122121072,0.5375372587496063
75,1,1.143254199326574,0.9145599552837458,1.277449463610503,0.4733018576789132,0.12421310330298145,0.3178230275905908,0.5529001238444711
76,1,1.1843546525034658,1.164786255386629,0.6336803711620719,0.8598831817889551,0.08243839666062533,0.34305704033557516,0.5392318342847788
77,1,0.6810834014243832,2.5521976444589103,0.1159090675738466,0.3678734885988677,0.0032149930408547035,0.2225284205674524,0.4651853125424237
78,1,0.30779699933376287,0.7701299676320286,0.6258234396516789,0.7527074588916551,0.02344833572530794,0.3871504362179021,0.522336885370641
79,1,1.6432505757033997,0.32377562986278885,0.5575603867913875,0.8571759599165327,0.15235540498360142,0.22272519340033334,0.5398117795701801
80,1,0.4358474446669997,1.291208287737027,1.2560276712416587,0.6121615059999833,0.04742112610837826,0.40854182117326526,0.5404254190753147
81,1,0.2942170599262016,3.0216958921438306,1.3846162352262683,1.3400629115259048,0.04008982536618803,0.41959045916135834,0.5399140926527796
82,1,1.0511825538543338,0.9949377518371163,1.775508279673793,0.9892779803498319,0.1708190009364972,0.2671253582431918,0.5617201273647757
83,1,0.6467375818431484,1.6324895707724074,1.0420979731957745,0.5864854952613177,0.05357080347551175,0.3996183743406389,0.5409511859483649
84,1,0.5347222700378972,2.236885656149699,1.5463728662325393,3.914313214032542,0.15608100382974022,0.2843965230607563,0.5592887752955984
85,1,0.6950298245629559,0.5983259293054288,1.3218043336983172,2.593116663662427,0.17525182185941723,0.26186292932315747,0.5624406400932079
86,1,1.5101695890202484,1.3487949203614726,3.6821071270785075,0.5983877832205653,0.20893850767358033,0.22269751338602706,0.568068765663672
87,1,0.4222943724548789,0.5978806597071286,0.8034204897178837,1.2942119162875463,0.06053705607530983,0.3746252332005916,0.5373023594427263
88,1,2.0257605323225687,1.3233749718468217,2.8641392240399286,0.5646086943659554,0.22684224757653368,0.20175709110103193,0.5710400522985846
89,1,3.7294830554189145,0.5706811031060987,2.2450233947201346,0.5231751530166037,0.2754957115756771,0.1447013230893096,0.5790801361285404
90,1,1.2675937873979017,1.0357847750409235,1.4297756406355087,1.6804570971862232,0.19876930996987338,0.23452777902760244,0.5663864049785508
91,1,0.8630585288058806,0.9548890138062358,1.1795966092326375,0.40597337938068007,0.08965146512582141,0.3555745434609082,0.5464046521713408
92,1,0.6034330156617091,0.32559516525611665,1.003633508797283,4.641379590584947,0.19576422008337754,0.23678204445561943,0.5655329176846396
93,1,1.6687557190613562,0.5500106361305389,0.6133305412509846,1.962319091313482,0.16610930944916844,0.2440297826376135,0.5527762701977686
94,1,0.7205716729948438,0.32919663890382084,0.4933161509607875,0.4827508783804107,0.08246860941763574,0.280430263886729,0.5213544656978188
95,1,0.4938333165913122,1.5950901968734879,1.0500521332459707,0.35760877253385914,0.028604358034933743,0.42370760482358877,0.5353491966403251
96,1,0.6887488745152287,0.45551605927150307,0.4339841247965286,0.3531811571722167,0.06241139718323586,0.2922989845056792,0.5147152843053235
97,1,3.3430941798884364,0.8087255124279779,1.4889124974400607,1.822313545688994,0.28275934798396746,0.13645960204417953,0.5803643811805453
98,1,0.7668642643251616,1.4470244248140334,1.4527295269853506,1.1661031171454328,0.12714053761388425,0.3180321629741934,0.5544254808585752
99,1,4.475686294265923,1.2166857753105456,0.8539901193274665,1.5626054830568141,0.22231461483518744,0.19982135900846945,0.5682468342962237
100,1,3.4149870565687266,1.9874325577690983,0.7186377590266717,0.5525487842569304,0.1330291951108817,0.29471199925360203,0.5507106139231238
101,1,0.5257083974269472,0.6330386015415308,1.306021332589089,1.7938928037092232,0.12257751768574729,0.32270215341416586,0.5534852970073992
102,1,0.20845659420591,0.9871872790377118,0.46611634808463975,1.602765256328014,0.011948723028234928,0.3923478007728885,0.5180731974470959
103,1,1.880856003941575,0.584109628827122,0.7331165754023564,0.5182202874928336,0.14195543109621822,0.2637279559104552,0.5463238277501357
104,1,1.3101576603196792,0.32886030550712336,0.4595443453190686,0.6231790558999714,0.12222515246066372,0.23353103686734775,0.5278334553111365
105,1,2.333219980057877,5.257046762621196,1.0138822634411209,0.4270990707270083,0.0932907481954058,0.356352991256461,0.5484352589846836
106,1,1.0525820038651317,0.5486370368056783,1.3738707275231143,0.4633281081531728,0.13448172931087476,0.3029160636942462,0.553778825421926
107,1,0.7747361033700814,0.990303563096786,1.4321322985308251,0.9482731459845375,0.12356217150974594,0.3218140760936813,0.5537186236818529
108,1,2.397543939483737,1.0896068590906987,0.28566400843883,1.8932924770960613,0.11469016283464639,0.24895080520490717,0.5284728572397271
109,1,0.8178355378165701,0.6296095800107513,2.833383787607758,0.5034057171098832,0.1591525567392695,0.2807801074026668,0.5597792187353441
110,1,1.0514780986077787,0.6110934866415905,2.545239649434012,0.7776690486420799,0.19209821951857942,0.24238579841198266,0.5652904224075626
111,1,1.176819465396091,0.38222105426921704,2.6941402252883453,0.47768749560443746,0.1962283793998368,0.23728187746797758,0.5658963666704416
112,1,1.875589517969797,2.158299339109717,2.3425809839767875,3.5013364285727446,0.2737180126175738,0.14721061265557941,0.5789115998838326
113,1,0.4454291080820919,1.32006298488784,1.09999546541968,1.3365174945547225,0.06799684948465168,0.386096675770252,0.5443050970698624
114,1,2.1354817366027876,1.0784711465801353,0.568753701854562,0.9350269090006901,0.12302232195943005,0.2874169535188668,0.5436273814147077
115,1,2.895815778584655,0.44289804115241077,1.0565870265858879,0.507703082611081,0.2055337831631758,0.20642849904917332,0.561741661466753
116,1,2.150967369597726,0.3202325059002068,0.7900854416142618,0.9177861726079876,0.19126367430743205,0.20627319248602993,0.5545652394515493
117,1,1.084113423394185,5.109349485530607,2.927862208679028,0.4909555552570175,0.07560457674481047,0.37811770036814923,0.5457982192569074
118,1,4.4444838865529945,0.4387730777215893,0.2746204339602256,0.35518562792258007,0.14770854255354132,0.1449325560441696,0.5152594705175759
119,1,1.150893510371239,1.4469654983795237,0.21710720593873406,1.3514259604440417,0.04310436573284212,0.2944678073829125,0.5056845583871433
120,1,0.8315423056109803,1.628984153860467,0.7666867461347487,1.8621922434979865,0.095855620878496,0.3515257559023044,0.5483598850458203
121,1,1.4767383007448935,0.44484273466029256,2.714423450608433,1.158052206820281,0.24754831329869953,0.17775722754664644,0.5745554907203319
122,1,1.6558258036612925,2.3907357770539144,0.5100027293718103,0.943145803732192,0.06515353565847277,0.36257884306956256,0.5361671598622215
123,1,0.5668793139239825,0.5215406697076623,1.2016939199889152,1.2645538619546517,0.10618949174016241,0.3375222021332586,0.5495262172823445
124,1,2.508540101719402,2.604127192781583,0.9853545105872451,0.5608937261769938,0.13675244783781337,0.3046148630299875,0.5553948604876194
125,1,9.12445271443856,4.40925007715767,0.9289676026431021,0.5259609690495198,0.1833564944877713,0.24808682995156267,0.5625496964218079
126,1,0.7462729314964975,1.214194646635689,2.1850700570980073,1.9535069903400435,0.18263626779394862,0.2534484665172474,0.5637224266889588
127,1,1.3509042293913036,0.8430673696699968,1.123196034911281,0.8068868531740248,0.14555095136277393,0.29170002920202176,0.5561120631849574
128,1,1.0502195034736692,0.9310828108437363,1.4374660062076927,0.2723935909874609,0.11369036506059817,0.3307501968628596,0.5513186690880054
129,1,0.7875834791847963,0.8177249340755965,0.45793991333383527,0.8875290916792267,0.058074649717303604,0.33311104763927574,0.5242097692088147
130,1,0.48298906664553043,0.6318791966646479,0.8186445983913015,0.8395536811637857,0.05710122627709738,0.3734756081949064,0.5352551209521644
131,1,0.6727675762554571,2.143099752265134,1.1490780426957605,1.2494112933076833,0.09056920085465273,0.36056113695687975,0.5482914506878864
132,1,1.1747023223403996,0.6303480728874026,0.54329323363047,1.786042986119351,0.12288857840776576,0.2865097220235894,0.5433029049970678
133,1,0.7835678903815794,0.2942108997442552,0.21895953855626177,1.1655423419082749,0.08243010877712634,0.20846192831124438,0.5007746734498603
134,1,0.6010032738589851,0.9543877228910241,0.685210094056328,0.7547021907043588,0.047170418782846536,0.37954028332331796,0.532022016069508
135,1,0.8875211555364179,0.4224524088244326,0.9871230070801948,1.9762281260301684,0.15748348748833527,0.27457575975588666,0.5571902556751787
136,1,1.6169711896830725,0.30068558702884446,0.3958304271638942,0.3982466075306099,0.12770471977698933,0.20375346920487597,0.5220640380679387
137,1,0.8425183231683946,1.804888749315116,1.2499576590477428,0.2977879702528893,0.06720453327121202,0.38574729974767363,0.5437864483419655
138,1,1.0386414734920821,1.7467207414272972,0.7333238445726742,3.7260948630924546,0.16774144275982839,0.2704520033231451,0.5611394647314824
139,1,0.63761644356174,2.247732854722415,5.074205633650905,0.4140691942057111,0.08899380753934322,0.36261719594847286,0.5480529940309949
140,1,0.7996390853569366,1.4873352173353132,9.19232338102883,0.2907102449045668,0.127330807856665,0.31793378593914984,0.554437388993554
141,1,1.4784786847458433,1.2174157171791524,0.7469424852422493,0.5617515355806001,0.09693777652886967,0.3330764262498219,0.543626851118605
142,1,0.6953847218211516,0.8111177357526776,0.41595097903737915,2.969241551167838,0.08495252841609194,0.33023685467754005,0.5368287539090247
143,1,0.46501286790584634,0.7442934429924412,0.6332215339384345,0.751664119360397,0.040390367335821846,0.3733904419827681,0.5268757838120965
144,1,1.066334297410961,0.5925443752646308,0.8494953902565637,3.2910776468419334,0.19099937548038856,0.2403282162873922,0.564163312419302
145,1,2.0742452488052256,0.8195799027802619,1.8713424981668756,0.5881008126890805,0.21771714282068,0.21215816341908983,0.5694618571552967
146,1,1.1689054188115402,0.37276682653400134,0.4536954244967009,0.5495827379878166,0.1074961045716707,0.249741050115101,0.5250998655399874
147,1,2.351043798126475,1.1727553144111924,1.4599195029486767,1.1104419963894605,0.2251847068883222,0.20354503437170537,0.5707403583467224
148,1,1.2884572478283305,1.3361144956235964,1.6966659986022024,1.117833199174785,0.18573631603252064,0.24972427540898165,0.5642064348664826
149,1,0.5311162058676301,0.5790609813335796,2.313406408300281,2.6518016136508336,0.1865691196679612,0.2489272475212383,0.5644016785635608
150,1,1.4716662448337061,0.3210187398591468,2.968596519336924,1.2499155757864202,0.25750503182929746,0.16615176888780386,0.5762196508653604
151,1,0.9498245682325719,1.0136697005549662,0.7730274333429458,3.369017952063838,0.1651095317586765,0.2723078150377568,0.5603546953845666
152,1,3.1973427941907677,0.4792417375756935,0.8771243489950231,1.2331645538075235,0.22045305459058356,0.18928438430874234,0.5643060510497789
153,1,2.4139010017041405,0.1866893332574636,1.9018795320341564,3.164838687394946,0.3278238659926366,0.08387676276617471,0.5878753794482039
154,1,0.7939131406664325,0.9650433346994272,2.3603558884332294,1.2885786428812025,0.17532873432909465,0.2619663747398913,0.56250074635642
155,1,0.39458812854674935,0.4420132869794951,0.4858459169407324,0.37178324839431603,0.04009730552513993,0.3247722853093999,0.5128375312986255
156,1,0.9862191090356535,0.6914328243430332,1.018738304672407,1.6136884734553114,0.14689862194213887,0.2907263662039223,0.5565109475943055
157,1,3.4070199182804903,1.1498530294373948,0.27273816483839736,2.592003956957539,0.1422710973448334,0.22214217437924383,0.5346040289910735
158,1,0.9118131935980498,2.215713065964836,0.7245568745459596,1.220588620948244,0.06522800599563287,0.3841508174853511,0.5423665697122579
159,1,0.9008509136547809,0.971335446748965,2.39130924982486,0.6283319000657006,0.15759959279751376,0.28255630106572627,0.5595101620290701
160,1,1.1072972999466622,1.1511844875841428,0.7553258467025908,0.21548066442625455,0.06485452049670286,0.3607391698303238,0.5354782128818588
161,1,1.257602803717571,0.13862313953132324,0.3491123149121717,0.7188013843280951,0.13860128381324902,0.1724731785709745,0.5185776328051517
162,1,1.329833194545394,1.7943942541932656,1.7523892023889778,1.493416682111409,0.1970358586436417,0.2365579481729819,0.5660943738420406
163,1,0.7685605068165529,2.292441670181592,0.8219930891579024,2.148480539675539,0.10122337591604,0.347875153239611,0.5499990728216753
164,1,0.2104600699969719,0.5110265946892233,0.6639393368951249,0.9875758321135192,0.02569557042787312,0.38574407769372976,0.5230593675450756
165,1,0.18887536919782325,1.7368722803667271,1.9626335006414564,1.7057981371490583,0.05165258916000282,0.4062255231449695,0.5418770040388373
